path,tracked,status_code,exists_on_disk,size_bytes,sha256,source_table,generated_by,reporting_task,maintenance_context
afp-api/src/main/java/com/upland/connect/afp/api/ConversionResult.java,1,,1,1704,ee931a0d8bae678d54565248aca5adfba9177136941fabcab32dac2a74cea294,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/ConversionWarning.java,1,,1,300,8e349381183a97b6bcfdc57ea199002b26c231442f5a64c7377e42b9fe1826de,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/DiagnosticsPolicy.java,1,,1,374,578b3f8f745fe8dc823548b27feaaa16de48bb0ed75fdeca6c8e837cafa0edd4,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/FontPolicy.java,1,,1,246,f125532d11100bc1d2ea1d9e371ddfed240c1ded70c077cacc42b59a9cf6f264,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/GeometryPolicy.java,1,,1,258,593eba8eb18683aac4439ef4f1aa39b9e1ee0db1cbae4275d6a12161829e37d1,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/Limits.java,1,,1,721,6fdf4433ba000b893694d9db3d63cccd277d8fd1fb1ea91ff9bb1d8f1bd0a3cd,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/MetadataPolicy.java,1,,1,258,e3b3a302e4a9a316b90412ff9de2e03043b961e7613916aecd8864a8fdfe1980,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/RenderPolicy.java,1,,1,890,43487a460bb57b74f844429495e3a4e1507e5ac89fb1bd26ee2067bb93c1c902,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/ResourceContext.java,1,,1,1706,bb3802f61b983f77cbd306fb2649220540c3313512ca995c1931ce764fb0ff84,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/Severity.java,1,,1,260,18daceff6ec3babc61d19b7244d1ef8622e992471d3b69fc7ad1a5228e5eacaf,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/TextFallback.java,1,,1,369,c552eb93c060a757485e34272187293185f435e672b5be294be1865d3be74ba5,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-api/src/main/java/com/upland/connect/afp/api/TextPolicy.java,1,,1,409,68ff00f30817826f31f351eba11751df8e04dae82f588d5a137c825bed0543b3,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-cli/build.gradle,1,,1,1916,97dbce0c1a1d8399c5779cd447017d83d6647d65f4881bf1cca7015d2fd08ed1,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-cli/src/main/java/com/upland/connect/afp/cli/Afp2PdfMain.java,1,,1,7161,6b6723a571c560aedddfdbbfc32bdcf90937b2b1768aa2321671c0765581c9b2,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/build.gradle,1,,1,2229,743e4fea5ce22dba81a42f728316e1b7fbe57f2f84356190fb14fe0d7a697e6b,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpCodePageProfile.java,1,,1,549,8abf0594f1e4db1b90b8f001b9f110f514039a838c1be6f646cca9ac072b40fe,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpCodePageResolver.java,1,,1,7636,69d2167845a549d75ae67d5d6f21d0e0174d85ec80b2a9190ef8befc732c495f,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpDocumentLayout.java,1,,1,426,9b3ef0b88bbf57b6a38cba9d017080ca223f840317bc5107e3288755b5e98567,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpEngineAdapter.java,1,,1,296,991566b2ee5eac85644d68002559015e64172f83b538076d155938c17dfd278b,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpHtmlRenderer.java,1,,1,3458,983634a69ac1dd5af187bd280eff0a6f138fe3deca78e4e26f6889e21f014810,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpInterpretation.java,1,,1,758,75af1011f73346ba766a403c5e459c0df267571c0a0d6a17ab187cf8499cce5f,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpInterpreter.java,1,,1,7273,d20e1c81f0e7d2e90ab0f33f32745d9905fb93b9bd5b7d938562f0b69895556d,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
